epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,4300.54,0.56313,0.39838,0.92639,0.95161,0.71628,0.82233,0.69104,0.51516,0.42218,0.89109,0.00015645,0.00015645,0.00015645
147,4329.24,0.58028,0.4001,0.92484,0.94722,0.73351,0.82891,0.69879,0.51849,0.419,0.88328,0.00015546,0.00015546,0.00015546
148,4358.92,0.57237,0.40382,0.9276,0.92447,0.7409,0.8273,0.69698,0.51608,0.40993,0.88237,0.00015447,0.00015447,0.00015447
149,4387.81,0.57669,0.40685,0.93352,0.92056,0.7511,0.82852,0.69648,0.52301,0.40739,0.88541,0.00015348,0.00015348,0.00015348
150,4416.2,0.57012,0.40617,0.9228,0.93036,0.72872,0.82132,0.69098,0.50934,0.4212,0.87681,0.00015249,0.00015249,0.00015249
151,4444.84,0.57652,0.4028,0.92433,0.93337,0.7276,0.81989,0.68799,0.5101,0.41259,0.87941,0.0001515,0.0001515,0.0001515
152,4474.17,0.56349,0.39623,0.92277,0.93078,0.74051,0.82463,0.69062,0.52021,0.40944,0.88512,0.00015051,0.00015051,0.00015051
153,4503.12,0.58144,0.41528,0.93369,0.92562,0.72914,0.81759,0.68979,0.48728,0.42358,0.87421,0.00014952,0.00014952,0.00014952
154,4532.06,0.56473,0.38863,0.91668,0.91968,0.74901,0.82429,0.69343,0.50546,0.40653,0.87645,0.00014853,0.00014853,0.00014853
155,4560.56,0.5761,0.39574,0.92508,0.9355,0.72395,0.82529,0.70133,0.49893,0.43044,0.87907,0.00014754,0.00014754,0.00014754
156,4590.42,0.57551,0.39892,0.92873,0.94826,0.73403,0.82561,0.69317,0.50751,0.42747,0.88121,0.00014655,0.00014655,0.00014655
157,4619.62,0.57385,0.40096,0.92676,0.94144,0.74406,0.83183,0.70103,0.50829,0.40647,0.89072,0.00014556,0.00014556,0.00014556
158,4649.19,0.55717,0.38466,0.91748,0.94258,0.73697,0.83299,0.70008,0.49587,0.40301,0.88893,0.00014457,0.00014457,0.00014457
159,4679.4,0.54817,0.3894,0.92362,0.94041,0.72684,0.82208,0.68978,0.50963,0.42094,0.88807,0.00014358,0.00014358,0.00014358
160,4708.77,0.56174,0.39385,0.92855,0.95957,0.71987,0.82259,0.695,0.50608,0.40106,0.89185,0.00014259,0.00014259,0.00014259
161,4737.56,0.55657,0.38606,0.92234,0.92799,0.73009,0.82282,0.69289,0.50144,0.40072,0.88752,0.0001416,0.0001416,0.0001416
162,4766.08,0.55672,0.39231,0.91678,0.94121,0.71858,0.82139,0.68478,0.51402,0.41447,0.8997,0.00014061,0.00014061,0.00014061
163,4795.66,0.56747,0.39234,0.92835,0.93117,0.73088,0.82178,0.68839,0.51132,0.42532,0.88418,0.00013962,0.00013962,0.00013962
164,4824.66,0.55003,0.3807,0.92029,0.90961,0.74211,0.82155,0.69354,0.50652,0.42524,0.88834,0.00013863,0.00013863,0.00013863
165,4853.36,0.56157,0.38845,0.91586,0.96434,0.72616,0.82792,0.69959,0.50312,0.40289,0.88802,0.00013764,0.00013764,0.00013764
166,4882.02,0.54346,0.37864,0.91369,0.9442,0.73472,0.83438,0.70022,0.49832,0.39753,0.89348,0.00013665,0.00013665,0.00013665
167,4910.6,0.55878,0.38159,0.91133,0.92323,0.73886,0.82838,0.70051,0.49377,0.40196,0.88049,0.00013566,0.00013566,0.00013566
168,4939.12,0.55479,0.38324,0.91886,0.94071,0.74728,0.82885,0.69947,0.50036,0.39501,0.88276,0.00013467,0.00013467,0.00013467
169,4967.97,0.55873,0.38581,0.92262,0.95672,0.72184,0.82831,0.70127,0.50464,0.39865,0.89472,0.00013368,0.00013368,0.00013368
170,4996.9,0.55502,0.37601,0.91727,0.9178,0.74377,0.81985,0.69079,0.50491,0.40761,0.88833,0.00013269,0.00013269,0.00013269
171,5025.67,0.55694,0.37941,0.92095,0.92101,0.73595,0.82256,0.69226,0.49031,0.41617,0.88053,0.0001317,0.0001317,0.0001317
172,5054.81,0.55505,0.38022,0.9146,0.91756,0.74943,0.82885,0.69457,0.48635,0.40343,0.88535,0.00013071,0.00013071,0.00013071
173,5083.71,0.56361,0.38625,0.91843,0.93953,0.74205,0.82668,0.69476,0.49245,0.40378,0.87747,0.00012972,0.00012972,0.00012972
174,5112.57,0.55069,0.37625,0.91514,0.94505,0.72987,0.82314,0.69934,0.4965,0.39743,0.88521,0.00012873,0.00012873,0.00012873
175,5141.09,0.54943,0.38815,0.91621,0.95139,0.72293,0.82029,0.69152,0.50129,0.40168,0.87921,0.00012774,0.00012774,0.00012774
176,5170.09,0.54797,0.37704,0.91527,0.94621,0.73202,0.82151,0.69322,0.50404,0.4047,0.87896,0.00012675,0.00012675,0.00012675
177,5199.57,0.53792,0.37638,0.91653,0.9511,0.73218,0.82883,0.69861,0.49349,0.40093,0.8765,0.00012576,0.00012576,0.00012576
178,5229.01,0.53776,0.37468,0.91308,0.941,0.7348,0.82829,0.70276,0.4927,0.39754,0.88101,0.00012477,0.00012477,0.00012477
179,5259.82,0.55027,0.37998,0.91741,0.94354,0.7334,0.82697,0.70637,0.49057,0.39326,0.87571,0.00012378,0.00012378,0.00012378
